year,Base case cost,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,272433.993415,772759.511211,773424.712959,1685817.3867,1464871.12352
2022,280732.05552,769698.2502,770920.155047,1660713.79497,1445258.06045
2023,286986.368218,765047.730014,766738.953207,1635052.30504,1424813.42535
2024,292562.361222,760063.731508,762178.027397,1609793.84099,1404580.80102
2025,297934.711811,755111.418681,757643.677773,1585008.96459,1384713.34555
2026,305445.307747,752319.432873,755346.692488,1562247.96678,1366923.87945
2027,312054.163353,748953.998522,752430.372337,1539618.94759,1349083.0015
2028,317752.48831,745001.06531,748880.781209,1517097.97943,1331169.20745
2029,324428.73637,742136.219385,746455.643842,1495783.00937,1314442.79945
2030,329237.041425,737820.174593,742492.742406,1473977.32136,1296969.38978
2031,336932.234081,736283.535721,741427.8557,1454482.33836,1281952.62953
2032,344668.448231,734987.24899,740598.993225,1435602.01303,1267458.69266
2033,352176.846587,733657.805221,739732.74724,1417054.06325,1253207.44945
2034,359989.976037,732823.189107,739357.201493,1399357.90679,1239720.41951
2035,365635.559074,730214.398501,737121.423517,1380804.1681,1225130.29154
2036,374487.41134,730681.571041,738080.713064,1364814.83171,1213261.02578
2037,379217.336041,727619.318869,735342.679824,1346764.50705,1198929.22953
2038,388145.371081,728512.607056,736720.487201,1331858.39454,1187981.96889
2039,394872.163481,727581.223108,736187.929501,1316012.65226,1175857.30331
2040,403882.241508,728890.276363,737974.256101,1302148.97224,1165798.72492
2041,404789.842051,723088.793563,732318.442349,1283749.09056,1150489.80776
2042,405697.442594,717444.554898,726816.458615,1265801.72798,1135560.96522
2043,406605.043136,711953.874992,721464.699539,1248296.27867,1121003.28938
2044,407512.643679,706613.154761,716259.64418,1231222.38516,1106808.08089
2045,408420.244222,701418.87957,711197.854218,1214569.93298,1092966.84455
2046,409327.844764,696367.617085,706275.971838,1198329.04451,1079471.28406
2047,410235.445307,691456.015466,701490.717977,1182490.07379,1066313.29769
2048,411143.04585,686680.801398,696838.890392,1167043.60084,1053484.97351
2049,411748.112878,681736.244731,692014.828339,1151677.89282,1040676.05142
2050,412655.713421,677224.290921,687620.545049,1136989.03347,1028484.05332
2051,412655.713421,671931.757381,682442.924126,1121758.11562,1015691.47652
2052,412655.713421,666763.267592,677386.65369,1106884.1724,1003198.72574
2053,412655.713421,661715.914302,672448.889611,1092358.83727,990998.773857
2054,412655.713421,656786.858312,667626.854336,1078173.93957,979084.758241
2055,412655.713421,651973.327088,662917.83553,1064321.50046,967449.977404
2056,412655.713421,647272.613007,658319.184355,1050793.7279,956087.886753
2057,412655.713421,642682.071918,653828.314073,1037583.01252,944992.095116
2058,412655.713421,638199.121617,649442.698546,1024681.92323,934156.361052
2059,412655.713421,633821.2405,645159.870917,1012083.20333,923574.589591
2060,412655.713421,629545.965943,640977.422033,999779.765845,913240.828329
2061,412655.713421,625370.893136,636892.999297,987764.69018,903149.264603
2062,412655.713421,621293.673599,632904.305221,976031.217858,893294.221907
2063,412655.713421,617312.013883,629009.09615,964572.748758,883670.156744
2064,412655.713421,613423.674353,625205.181078,953382.837631,874271.655696
2065,412655.713421,609626.467752,621490.420236,942455.189963,865093.431946
2066,412655.713421,605918.258168,617862.72409,931783.659002,856130.322785
2067,412655.713421,602296.959777,614320.052101,921362.242134,847377.286569
2068,412655.713421,598760.535537,610860.411459,911185.07714,838829.399568
2069,412655.713421,595306.99625,607481.856154,901246.439478,830481.853691
2070,412655.713421,591934.399299,604182.485748,891540.738663,822329.953444
