year,Base case diesel consumed,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,92664.6236105,81144.6455065,85693.5599373,49645.8623502,58518.2269739
2022,92957.6342781,81437.656174,85986.5706048,49938.8730178,58811.2376414
2023,93177.3922787,81657.4141747,86206.3286055,50158.6310184,59030.9956421
2024,93470.4029463,81950.4248422,86499.339273,50451.641686,59324.0063096
2025,93690.1609469,82170.1828429,86719.0972737,50671.3996866,59543.7643103
2026,93983.1716145,82463.1935104,87012.1079412,50964.4103542,59836.7749778
2027,94276.182282,82756.2041779,87305.1186088,51257.4210217,60129.7856454
2028,94569.1929495,83049.2148455,87598.1292763,51550.4316893,60422.7963129
2029,94862.2036171,83342.225513,87891.1399439,51843.4423568,60715.8069804
2030,95155.2142846,83635.2361806,88184.1506114,52136.4530244,61008.817648
2031,95448.2249522,83928.2468481,88477.1612789,52429.4636919,61301.8283155
2032,95741.2356197,84221.2575157,88770.1719465,52722.4743594,61594.8389831
2033,95960.9936204,84441.0155163,88989.9299471,52942.2323601,61814.5969837
2034,96254.0042879,84734.0261839,89282.9406147,53235.2430276,62107.6076513
2035,96473.7622886,84953.7841845,89502.6986153,53455.0010283,62327.3656519
2036,96766.7729561,85246.7948521,89795.7092829,53748.0116958,62620.3763195
2037,96986.5309568,85466.5528527,90015.4672835,53967.7696965,62840.1343201
2038,97279.5416243,85759.5635203,90308.4779511,54260.780364,63133.1449877
2039,97499.299625,85979.3215209,90528.2359517,54480.5383647,63352.9029883
2040,97792.3102925,86272.3321885,90821.2466193,54773.5490322,63645.9136559
2041,98012.0682932,86492.0901891,91041.0046199,54993.3070329,63865.6716565
2042,98231.8262938,86711.8481898,91260.7626206,55213.0650336,64085.4296572
2043,98451.5842945,86931.6061904,91480.5206213,55432.8230342,64305.1876578
2044,98671.3422951,87151.3641911,91700.2786219,55652.5810349,64524.9456585
2045,98891.1002958,87371.1221917,91920.0366226,55872.3390355,64744.7036592
2046,99110.8582965,87590.8801924,92139.7946232,56092.0970362,64964.4616598
2047,99330.6162971,87810.6381931,92359.5526239,56311.8550369,65184.2196605
2048,99550.3742978,88030.3961937,92579.3106245,56531.6130375,65403.9776611
2049,99696.8796315,88176.9015275,92725.8159583,56678.1183713,65550.4829949
2050,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2051,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2052,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2053,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2054,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2055,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2056,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2057,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2058,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2059,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2060,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2061,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2062,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2063,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2064,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2065,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2066,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2067,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2068,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2069,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
2070,99916.6376322,88396.6595281,92945.573959,56897.8763719,65770.2409956
