year,Base case diesel consumed,Modeled solar power (pv)
2016,91346.0756066,89671.7833762
2017,91639.0862741,89978.1883816
2018,91858.8442748,90211.2335654
2019,92151.8549423,90517.4251186
2020,92371.612943,90750.2585579
2021,92664.6236105,91056.2400605
2022,92957.6342781,91362.1177965
2023,93177.3922787,91594.639929
2024,93470.4029463,91900.3126153
2025,93690.1609469,92132.6313386
2026,93983.1716145,92438.102243
2027,94276.182282,92743.4734655
2028,94569.1929495,93048.7458036
2029,94862.2036171,93353.9200483
2030,95155.2142846,93658.9969844
2031,95448.2249522,93963.9773904
2032,95741.2356197,94268.8620384
2033,95960.9936204,94500.3990277
2034,96254.0042879,94805.094452
2035,96473.7622886,95036.4437313
