year,Base case cost,Modeled solar power (pv)
2016,159855.632311,171803.899142
2017,190609.29945,201715.944809
2018,214031.10716,224444.017133
2019,246045.452696,255631.216952
2020,261411.664629,270477.919509
2021,272433.993415,281072.008387
2022,280732.05552,288999.048002
2023,286986.368218,294922.387479
2024,292562.361222,300190.817339
2025,297934.711811,305262.894175
2026,305445.307747,312449.442564
2027,312054.163353,318757.041574
2028,317752.48831,324176.372503
2029,324428.73637,330565.204482
2030,329237.041425,335122.772207
2031,336932.234081,342528.828454
2032,344668.448231,349982.60872
2033,352176.846587,357215.132053
2034,359989.976037,364758.804834
2035,365635.559074,370169.958501
