year,Base case cost,Modeled biomass for heat (cordwood)
2017,746893.993426,777829.980789
2018,788026.493426,805676.796982
2019,843966.693426,844532.803173
2020,870291.493426,861549.520938
2021,888389.793426,872540.82825
2022,901552.193426,879938.49642
2023,911423.993426,884957.770221
2024,919650.493426,888813.92519
2025,927876.993426,892722.266925
2026,939394.093426,899114.688457
2027,949265.893426,904340.3211
2028,957492.393426,908397.998379
2029,967364.193426,913719.697315
2030,973945.393426,916654.631261
2031,985462.493426,923284.504249
2032,,
2033,,
2034,,
2035,,
2036,,
