year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,164530.0,121655.808351
2018,164530.0,121655.808351
2019,164530.0,121655.808351
2020,164530.0,121655.808351
2021,164530.0,121655.808351
2022,164530.0,121655.808351
2023,164530.0,121655.808351
2024,164530.0,121655.808351
2025,164530.0,121655.808351
2026,164530.0,121655.808351
2027,164530.0,121655.808351
2028,164530.0,121655.808351
2029,164530.0,121655.808351
2030,164530.0,121655.808351
2031,164530.0,121655.808351
2032,,
2033,,
2034,,
2035,,
2036,,
