year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,164530.351172,121752.459868
2018,164530.351172,121752.459868
2019,164530.351172,121752.459868
2020,164530.351172,121752.459868
2021,164530.351172,121752.459868
2022,164530.351172,121752.459868
2023,164530.351172,121752.459868
2024,164530.351172,121752.459868
2025,164530.351172,121752.459868
2026,164530.351172,121752.459868
2027,164530.351172,121752.459868
2028,164530.351172,121752.459868
2029,164530.351172,121752.459868
2030,164530.351172,121752.459868
2031,164530.351172,121752.459868
