year,Base case cost,Modeled transmission and interties
2021,228959.430802,1541381.77867
2022,236665.704335,1529107.25211
2023,242729.515362,1516141.25479
2024,247887.492969,1502669.12038
2025,253379.944255,1489946.77626
2026,259968.682206,1478821.13902
2027,266237.899421,1467731.0055
2028,271565.868356,1456060.69157
2029,277935.821173,1445848.25819
2030,282980.471228,1434602.80203
2031,289817.900196,1425649.28948
2032,297402.189212,1417174.10656
2033,304343.501769,1409029.80055
2034,312037.970349,1401347.71404
2035,316611.996265,1392071.89324
2036,324400.117475,1385817.33567
2037,330110.566898,1376993.30245
2038,338002.571697,1371468.08505
2039,344515.757947,1364781.81916
2040,352129.952844,1359593.15197
