year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,690535
2004,,0,0,0,0,0,747478
2005,,0,0,0,0,0,700994
2006,,0,0,0,0,0,724034
2007,,0,0,0,0,0,735917
2008,,0,0,0,0,0,739025
2009,,0,0,0,0,0,745800
2010,,0,0,0,0,0,753372
2011,,0,0,0,0,0,781700
2012,,0,0,0,0,0,839827
2013,,0,0,0,0,0,837602
2014,start of forecast,0,0,0,0,0,805000
2015,,0,0,0,0,0,809000
2016,,0,0,0,0,0,813000
2017,,0,0,0,0,0,817000
2018,,0,0,0,0,0,822000
2019,,0,0,0,0,0,826000
2020,,0,0,0,0,0,831000
2021,,0,0,0,0,0,836000
2022,,0,0,0,0,0,840000
2023,,0,0,0,0,0,845000
2024,,0,0,0,0,0,849000
2025,,0,0,0,0,0,854000
2026,,0,0,0,0,0,858000
2027,,0,0,0,0,0,863000
2028,,0,0,0,0,0,867000
2029,,0,0,0,0,0,872000
2030,,0,0,0,0,0,877000
2031,,0,0,0,0,0,881000
2032,,0,0,0,0,0,885000
2033,,0,0,0,0,0,889000
2034,,0,0,0,0,0,893000
2035,,0,0,0,0,0,896000
2036,,0,0,0,0,0,900000
2037,,0,0,0,0,0,904000
2038,,0,0,0,0,0,908000
2039,,0,0,0,0,0,912000
2040,,0,0,0,0,0,915000
