year,Base case diesel consumed,Modeled solar power
2020,65399.4414414,64200.7279121
2021,65792.9398857,64603.8160647
2022,66107.7386411,64928.1278107
2023,66501.2370854,65331.0631416
2024,66816.0358408,65655.2232886
2025,67209.5342851,66058.0082333
2026,67524.3330406,66382.0191971
2027,67917.8314849,66784.6561522
2028,68232.6302403,67108.5203103
2029,68626.1286846,67511.011634
2030,69019.6271289,67913.4310147
2031,69334.4258843,68237.0793391
2032,69649.2246397,68560.6568669
2033,69964.0233952,68884.1641645
2034,70278.8221506,69207.6017937
2035,70514.9212172,69452.2706232
2036,70829.7199726,69775.5705834
2037,71144.518728,70098.8025339
2038,71459.3174835,70421.9670189
2039,71774.1162389,70745.0645781
