year,Base case cost,Modeled solar power
2020,219088.128829,223674.371256
2021,228959.430802,233238.259078
2022,236665.704335,240679.138216
2023,242729.515362,246518.593539
2024,247887.492969,251469.073154
2025,253379.944255,256758.977452
2026,259968.682206,263127.165006
2027,266237.899421,269192.266243
2028,271565.868356,274332.173887
2029,277935.821173,280507.444708
2030,282980.471228,285384.146743
2031,289817.900196,292024.864576
2032,297402.189212,299406.148415
2033,304343.501769,306159.923571
2034,312037.970349,313660.542326
2035,316611.996265,318087.703131
2036,324400.117475,325690.499301
2037,330110.566898,331251.293466
2038,338002.571697,338966.230179
2039,344515.757947,345327.054242
