year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,97747.0919533,72332.8480454
2018,97747.0919533,72332.8480454
2019,97747.0919533,72332.8480454
2020,97747.0919533,72332.8480454
2021,97747.0919533,72332.8480454
2022,97747.0919533,72332.8480454
2023,97747.0919533,72332.8480454
2024,97747.0919533,72332.8480454
2025,97747.0919533,72332.8480454
2026,97747.0919533,72332.8480454
2027,97747.0919533,72332.8480454
2028,97747.0919533,72332.8480454
2029,97747.0919533,72332.8480454
2030,97747.0919533,72332.8480454
2031,97747.0919533,72332.8480454
