year,Base case cost,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,228959.430802,1779573.70581,1423854.93502
2022,236665.704335,1751234.97013,1405005.46998
2023,242729.515362,1723093.11022,1385700.77161
2024,247887.492969,1695147.71973,1366255.53932
2025,253379.944255,1668262.09378,1347692.69845
2026,259968.682206,1642461.83564,1330352.75612
2027,266237.899421,1617393.35296,1313420.05982
2028,271565.868356,1592418.70711,1296260.63542
2029,277935.821173,1568786.08767,1280437.29092
2030,282980.471228,1545191.56384,1264183.75639
2031,289817.900196,1522940.09225,1249585.54747
2032,297402.189212,1501690.22047,1235994.07086
2033,304343.501769,1480756.92405,1222417.07667
2034,312037.970349,1460803.06353,1209831.61086
2035,316611.996265,1439739.33492,1195374.86102
2036,324400.117475,1421010.02398,1183737.37888
2037,330110.566898,1401827.50535,1171047.12838
2038,338002.571697,1384280.58552,1160328.28352
2039,344515.757947,1366594.4284,1149032.19575
2040,352129.952844,1349798.24365,1138812.55068
2041,353669.318758,1330659.94176,1124731.06498
2042,354823.843193,1311621.43124,1110630.85152
2043,356363.209108,1293441.03627,1097273.01232
2044,357517.733543,1275337.98185,1083879.48498
2045,358672.257979,1257686.27696,1070826.92763
2046,360211.623893,1240860.18453,1058492.19022
2047,361366.148328,1224079.69113,1046097.78569
2048,362520.672764,1207719.54955,1034020.93406
2049,363675.197199,1191769.90802,1022254.19285
2050,364829.721635,1176221.14539,1010790.29382
2051,364829.721635,1159909.34164,998467.614673
2052,364829.721635,1143979.84572,986433.748266
2053,364829.721635,1128423.6975,974681.925698
2054,364829.721635,1113232.14639,963205.536395
2055,364829.721635,1098396.64727,951998.124973
2056,364829.721635,1083908.85517,941053.387262
2057,364829.721635,1069760.62065,930365.166808
2058,364829.721635,1055943.98551,919927.451617
2059,364829.721635,1042451.17765,909734.3703
2060,364829.721635,1029274.60744,899780.189292
2061,364829.721635,1016406.86319,890059.309482
2062,364829.721635,1003840.70659,880566.262714
2063,364829.721635,991569.069329,871295.709256
2064,364829.721635,979585.048595,862242.434419
2065,364829.721635,967881.903452,853401.345791
2066,364829.721635,956453.050504,844767.469974
2067,364829.721635,945292.061506,836335.95078
2068,364829.721635,934392.658098,828102.045249
2069,364829.721635,923748.709569,820061.121963
2070,364829.721635,913354.228546,812208.657788
