year,Base case diesel consumed,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,65792.9398857,25749.5537626,43050.9499383
2022,66107.7386411,26064.3525181,43365.7486937
2023,66501.2370854,26457.8509624,43759.247138
2024,66816.0358408,26772.6497178,44074.0458934
2025,67209.5342851,27166.1481621,44467.5443377
2026,67524.3330406,27480.9469175,44782.3430932
2027,67917.8314849,27874.4453618,45175.8415375
2028,68232.6302403,28189.2441172,45490.6402929
2029,68626.1286846,28582.7425615,45884.1387372
2030,69019.6271289,28976.2410058,46277.6371815
2031,69334.4258843,29291.0397613,46592.4359369
2032,69649.2246397,29605.8385167,46907.2346923
2033,69964.0233952,29920.6372721,47222.0334478
2034,70278.8221506,30235.4360276,47536.8322032
2035,70514.9212172,30471.5350941,47772.9312698
2036,70829.7199726,30786.3338496,48087.7300252
2037,71144.518728,31101.132605,48402.5287806
2038,71459.3174835,31415.9313604,48717.3275361
2039,71774.1162389,31730.7301159,49032.1262915
2040,72010.2153055,31966.8291825,49268.2253581
2041,72325.0140609,32281.6279379,49583.0241135
2042,72561.1131275,32517.7270045,49819.1231801
2043,72875.9118829,32832.5257599,50133.9219355
2044,73112.0109495,33068.6248265,50370.0210021
2045,73348.1100161,33304.723893,50606.1200687
2046,73662.9087715,33619.5226485,50920.9188241
2047,73899.0078381,33855.6217151,51157.0178907
2048,74135.1069047,34091.7207816,51393.1169573
2049,74371.2059712,34327.8198482,51629.2160238
2050,74607.3050378,34563.9189148,51865.3150904
2051,74607.3050378,34563.9189148,51865.3150904
2052,74607.3050378,34563.9189148,51865.3150904
2053,74607.3050378,34563.9189148,51865.3150904
2054,74607.3050378,34563.9189148,51865.3150904
2055,74607.3050378,34563.9189148,51865.3150904
2056,74607.3050378,34563.9189148,51865.3150904
2057,74607.3050378,34563.9189148,51865.3150904
2058,74607.3050378,34563.9189148,51865.3150904
2059,74607.3050378,34563.9189148,51865.3150904
2060,74607.3050378,34563.9189148,51865.3150904
2061,74607.3050378,34563.9189148,51865.3150904
2062,74607.3050378,34563.9189148,51865.3150904
2063,74607.3050378,34563.9189148,51865.3150904
2064,74607.3050378,34563.9189148,51865.3150904
2065,74607.3050378,34563.9189148,51865.3150904
2066,74607.3050378,34563.9189148,51865.3150904
2067,74607.3050378,34563.9189148,51865.3150904
2068,74607.3050378,34563.9189148,51865.3150904
2069,74607.3050378,34563.9189148,51865.3150904
2070,74607.3050378,34563.9189148,51865.3150904
