year,annotation,diesel generation efficiency
2002,,12.09
2003,,11.07
2004,,12.86
2005,,12.26
2006,,12.53
2007,,12.42
2008,,12.37
2009,,12.23
2010,,12.82
2011,,12.82
2012,,12.63
2013,,12.67
2014,start of forecast,12.71
2015,,12.71
2016,,12.71
2017,,12.71
2018,,12.71
2019,,12.71
2020,,12.71
2021,,12.71
2022,,12.71
2023,,12.71
2024,,12.71
2025,,12.71
2026,,12.71
2027,,12.71
2028,,12.71
2029,,12.71
2030,,12.71
2031,,12.71
2032,,12.71
2033,,12.71
2034,,12.71
2035,,12.71
2036,,12.71
2037,,12.71
2038,,12.71
2039,,12.71
2040,,12.71
