year,Base case cost,"Teller wind-final design, permitting & construction",Modeled wind power
2019,190993.605618,,
2020,202845.327633,,
2021,210843.691093,,
2022,216917.641959,,
2023,221450.249403,,
2024,224950.005642,,
2025,229106.343957,,
2026,234571.313058,,
2027,238747.295946,,
2028,242281.052408,,
2029,247126.461899,,
2030,250676.840692,,
2031,256195.45459,,
2032,260770.373422,,
2033,266306.36521,,
2034,271854.445967,,
2035,276102.962663,,
2036,281349.57478,,
2037,284956.620611,,
2038,290543.234953,,
