year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,103306.09492,76282.2902409
2018,103306.09492,76282.2902409
2019,103306.09492,76282.2902409
2020,103306.09492,76282.2902409
2021,103306.09492,76282.2902409
2022,103306.09492,76282.2902409
2023,103306.09492,76282.2902409
2024,103306.09492,76282.2902409
2025,103306.09492,76282.2902409
2026,103306.09492,76282.2902409
2027,103306.09492,76282.2902409
2028,103306.09492,76282.2902409
2029,103306.09492,76282.2902409
2030,103306.09492,76282.2902409
2031,103306.09492,76282.2902409
