year,Base case cost,Modeled non-residential energy efficiency
2017,755437.175821,777089.953382
2018,795895.339982,812554.06716
2019,849357.914053,860130.934992
2020,875366.733871,882286.171003
2021,892705.947083,896444.816673
2022,905710.356992,906627.2076
2023,915824.898032,914172.758429
2024,923049.570204,919080.435419
2025,931719.17681,925370.648616
2026,943278.652284,934382.885352
2027,951948.25889,940754.290146
2028,959172.931062,945824.395997
2029,969287.472102,953613.704309
2030,976512.144274,958759.425725
2031,988071.619748,967963.05055
