year,Base case diesel consumed,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,64675.978863,30754.4075335,0.0
2022,64751.5349131,30829.9635836,75.5560500736
2023,64751.5349131,30829.9635836,75.5560500736
2024,64827.0909631,30905.5196337,151.112100147
2025,64902.6470132,30981.0756838,226.668150221
2026,64978.2030633,31056.6317338,302.224200294
2027,65053.7591134,31132.1877839,377.780250368
2028,65129.3151634,31207.743834,453.336300442
2029,65204.8712135,31283.2998841,528.892350515
2030,65280.4272636,31358.8559341,604.448400589
2031,65355.9833137,31434.4119842,680.004450662
2032,65355.9833137,31434.4119842,680.004450662
2033,65431.5393637,31509.9680343,755.560500736
2034,65507.0954138,31585.5240844,831.11655081
2035,65582.6514639,31661.0801344,906.672600883
2036,65582.6514639,31661.0801344,906.672600883
2037,65658.207514,31736.6361845,982.228650957
2038,65733.763564,31812.1922346,1057.78470103
2039,65809.3196141,31887.7482846,1133.3407511
2040,65809.3196141,31887.7482846,1133.3407511
2041,65884.8756642,31963.3043347,1208.89680118
2042,65960.4317143,32038.8603848,1284.45285125
2043,65960.4317143,32038.8603848,1284.45285125
2044,66035.9877643,32114.4164349,1360.00890132
2045,66111.5438144,32189.9724849,1435.5649514
2046,66111.5438144,32189.9724849,1435.5649514
2047,66187.0998645,32265.528535,1511.12100147
2048,66187.0998645,32265.528535,1511.12100147
2049,66262.6559145,32341.0845851,1586.67705155
2050,66338.2119646,32416.6406352,1662.23310162
2051,66338.2119646,32416.6406352,1662.23310162
2052,66338.2119646,32416.6406352,1662.23310162
2053,66338.2119646,32416.6406352,1662.23310162
2054,66338.2119646,32416.6406352,1662.23310162
2055,66338.2119646,32416.6406352,1662.23310162
2056,66338.2119646,32416.6406352,1662.23310162
2057,66338.2119646,32416.6406352,1662.23310162
2058,66338.2119646,32416.6406352,1662.23310162
2059,66338.2119646,32416.6406352,1662.23310162
2060,66338.2119646,32416.6406352,1662.23310162
2061,66338.2119646,32416.6406352,1662.23310162
2062,66338.2119646,32416.6406352,1662.23310162
2063,66338.2119646,32416.6406352,1662.23310162
2064,66338.2119646,32416.6406352,1662.23310162
2065,66338.2119646,32416.6406352,1662.23310162
2066,66338.2119646,32416.6406352,1662.23310162
2067,66338.2119646,32416.6406352,1662.23310162
2068,66338.2119646,32416.6406352,1662.23310162
2069,66338.2119646,32416.6406352,1662.23310162
2070,66338.2119646,32416.6406352,1662.23310162
