year,Base case cost,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,210843.691093,1474065.42804,549182866.53
2022,216917.641959,1449335.4255,538277350.695
2023,221450.249403,1424423.29224,527629039.204
2024,224950.005642,1399822.36032,517232454.94
2025,229106.343957,1376138.6901,507078402.577
2026,234571.313058,1353653.68289,497160145.962
2027,238747.295946,1331180.36033,487476232.279
2028,242281.052408,1308995.50472,478020184.577
2029,247126.461899,1287970.96237,468783600.959
2030,250676.840692,1266911.65764,459765402.304
2031,256195.45459,1247287.06854,450955382.866
2032,260770.373422,1227597.48211,442352398.779
2033,266306.36521,1209023.04112,433950159.95
2034,271854.445967,1190958.99202,425744675.527
2035,276102.962663,1172794.38124,417733382.228
2036,281349.57478,1155390.70584,409907355.485
2037,284956.620611,1137880.11278,402267959.099
2038,290543.234953,1121733.72379,394804438.849
2039,295483.845067,1105740.10179,387516694.67
2040,301406.683833,1090448.53846,380397219.794
2041,301752.730542,1073207.96622,373453933.647
2042,302098.777251,1056379.58035,366673388.875
2043,302098.777251,1039607.67361,360051425.213
2044,302444.823961,1023574.90508,353585009.846
2045,302790.87067,1007926.01509,347270159.224
2046,302790.87067,992305.959699,341102974.97
2047,303136.917379,977398.046106,335080680.158
2048,303136.917379,962501.600498,329199194.944
2049,303482.964089,948300.336906,323455903.033
2050,303829.010798,934440.025998,317847227.675
2051,303829.010798,920566.629906,312369667.717
2052,303829.010798,907018.391527,307020488.068
2053,303829.010798,893787.690035,301796679.836
2054,303829.010798,880867.082998,296695304.566
2055,303829.010798,868249.302732,291713492.795
2056,303829.010798,855927.251701,286848442.243
2057,303829.010798,843893.998757,282097416.319
2058,303829.010798,832142.775131,277457742.546
2059,303829.010798,820666.970902,272926811.164
2060,303829.010798,809460.13076,268502073.456
2061,303829.010798,798515.95094,264181040.542
2062,303829.010798,787828.27534,259961281.838
2063,303829.010798,777391.092105,255840423.716
2064,303829.010798,767198.530446,251816148.244
2065,303829.010798,757244.856876,247886191.699
2066,303829.010798,747524.472498,244048343.496
2067,303829.010798,738031.909707,240300444.893
2068,303829.010798,728761.82878,236640387.633
2069,303829.010798,719709.0154,233066112.974
2070,303829.010798,710868.377358,229575610.388
