year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7525.07184408,6808.25901289
2018,7492.46386242,6778.75715702
2019,7458.78315342,6748.28475816
2020,7424.8627288,6717.5954782
2021,7391.32052215,6687.24838843
2022,7357.82825624,6656.94648222
2023,7324.68557561,6626.96086098
2024,7291.36910115,6596.81800092
2025,7258.37224751,6566.96431569
2026,7225.54852181,6537.26726681
2027,7193.5018742,6508.27327421
2028,7162.0951341,6479.85823369
2029,7127.30906979,6448.38577193
2030,7093.76153612,6418.03386258
2031,7061.7268743,6389.05071403
