year,Base case cost,Modeled solar power (pv)
2016,124738.505309,133463.100275
2017,148703.373271,156883.395713
2018,166923.714746,174651.590751
2019,190993.605618,198196.985983
2020,202845.327633,209704.595026
2021,210843.691093,217419.385021
2022,216917.641959,223242.421321
2023,221450.249403,227547.260544
2024,224950.005642,230841.854233
2025,229106.343957,234789.275726
2026,234571.313058,240033.130883
2027,238747.295946,244009.994046
2028,242281.052408,247357.704913
2029,247126.461899,252004.826051
2030,250676.840692,255378.057199
2031,256195.45459,260699.144624
2032,260770.373422,265089.209402
2033,266306.36521,270436.579399
2034,271854.445967,275800.379855
2035,276102.962663,279884.754715
