year,Base case diesel consumed,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,20672.0756475,0.0,0.0,0.0
2022,20583.7334439,-88.3422036218,-88.3422036218,-88.3422036218
2023,20583.7334439,-88.3422036218,-88.3422036218,-88.3422036218
2024,20583.7334439,-88.3422036218,-88.3422036218,-88.3422036218
2025,20495.3912403,-176.684407244,-176.684407244,-176.684407244
2026,20407.0490366,-265.026610865,-265.026610865,-265.026610865
2027,20407.0490366,-265.026610865,-265.026610865,-265.026610865
2028,20318.706833,-353.368814487,-353.368814487,-353.368814487
2029,20318.706833,-353.368814487,-353.368814487,-353.368814487
2030,20230.3646294,-441.711018109,-441.711018109,-441.711018109
2031,20142.0224258,-530.053221731,-530.053221731,-530.053221731
2032,20053.6802222,-618.395425353,-618.395425353,-618.395425353
2033,19876.9958149,-795.079832596,-795.079832596,-795.079832596
2034,19700.3114077,-971.76423984,-971.76423984,-971.76423984
2035,19611.969204,-1060.10644346,-1060.10644346,-1060.10644346
2036,19523.6270004,-1148.44864708,-1148.44864708,-1148.44864708
2037,19346.9425932,-1325.13305433,-1325.13305433,-1325.13305433
2038,19258.6003896,-1413.47525795,-1413.47525795,-1413.47525795
2039,19081.9159823,-1590.15966519,-1590.15966519,-1590.15966519
2040,18905.2315751,-1766.84407244,-1766.84407244,-1766.84407244
2041,18728.5471678,-1943.52847968,-1943.52847968,-1943.52847968
2042,18640.2049642,-2031.8706833,-2031.8706833,-2031.8706833
2043,18463.520557,-2208.55509055,-2208.55509055,-2208.55509055
2044,18286.8361497,-2385.23949779,-2385.23949779,-2385.23949779
2045,18110.1517425,-2561.92390503,-2561.92390503,-2561.92390503
2046,17933.4673352,-2738.60831228,-2738.60831228,-2738.60831228
2047,17756.782928,-2915.29271952,-2915.29271952,-2915.29271952
2048,17580.0985207,-3091.97712676,-3091.97712676,-3091.97712676
2049,17403.4141135,-3268.66153401,-3268.66153401,-3268.66153401
2050,17226.7297063,-3445.34594125,-3445.34594125,-3445.34594125
