year,Base case cost,Modeled transmission and interties
2021,136022.257761,1146714.67721
2022,138322.688743,1150881.74472
2023,139969.387418,1154014.50357
2024,141616.086094,1156858.58623
2025,143057.830857,1159398.24249
2026,144890.04816,1162971.90661
2027,146522.612083,1166077.77483
2028,147513.811608,1168053.92414
2029,149545.682291,1171634.49343
2030,150513.912843,1173286.94195
2031,151870.84909,1176531.28298
2032,153611.190502,1179658.82715
2033,154643.02744,1182106.27428
2034,155632.460121,1184478.00532
2035,156111.274864,1186048.04886
2036,157750.906163,1189276.3903
2037,157871.05156,1190001.78109
2038,159461.211226,1193412.29197
2039,159524.817612,1194571.54294
2040,160694.468388,1197034.62198
