year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,697224
2004,,0,0,0,0,0,695591
2005,,0,0,0,0,0,620724
2006,,0,0,0,0,0,631806
2007,,0,0,0,0,0,635754
2008,,0,0,0,0,0,643749
2009,,0,0,0,0,0,636325
2010,,0,0,0,0,0,674638
2011,,0,0,0,0,0,625660
2012,,0,0,0,0,0,651972
2013,,0,0,0,0,0,655808
2014,start of forecast,0,0,0,0,0,636000
2015,,0,0,0,0,0,637000
2016,,0,0,0,0,0,638000
2017,,0,0,0,0,0,639000
2018,,0,0,0,0,0,640000
2019,,0,0,0,0,0,641000
2020,,0,0,0,0,0,641000
2021,,0,0,0,0,0,642000
2022,,0,0,0,0,0,643000
2023,,0,0,0,0,0,644000
2024,,0,0,0,0,0,644000
2025,,0,0,0,0,0,645000
2026,,0,0,0,0,0,646000
2027,,0,0,0,0,0,647000
2028,,0,0,0,0,0,647000
2029,,0,0,0,0,0,648000
2030,,0,0,0,0,0,649000
2031,,0,0,0,0,0,650000
2032,,0,0,0,0,0,651000
2033,,0,0,0,0,0,652000
2034,,0,0,0,0,0,652000
2035,,0,0,0,0,0,653000
2036,,0,0,0,0,0,654000
2037,,0,0,0,0,0,655000
2038,,0,0,0,0,0,656000
2039,,0,0,0,0,0,656000
2040,,0,0,0,0,0,657000
