year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,91866.0,82699.1112151
2018,91868.0,82701.1112151
2019,92893.0,83726.1112151
2020,92894.0,83727.1112151
2021,93918.0,84751.1112151
2022,93919.0,84752.1112151
2023,94943.0,85776.1112151
2024,94945.0,85778.1112151
2025,94946.0,85779.1112151
2026,95970.0,86803.1112151
2027,95971.0,86804.1112151
2028,95973.0,86806.1112151
2029,96998.0,87831.1112151
2030,96999.0,87832.1112151
2031,98023.0,88856.1112151
2032,98024.0,88857.1112151
2033,99049.0,89882.1112151
2034,99050.0,89883.1112151
2035,99052.0,89885.1112151
2036,100075.0,90908.1112151
