year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,35178.0726538,25986.6537638
2018,35178.0726538,25986.6537638
2019,35178.0726538,25986.6537638
2020,35178.0726538,25986.6537638
2021,35178.0726538,25986.6537638
2022,35178.0726538,25986.6537638
2023,35178.0726538,25986.6537638
2024,35178.0726538,25986.6537638
2025,35178.0726538,25986.6537638
2026,35178.0726538,25986.6537638
2027,35178.0726538,25986.6537638
2028,35178.0726538,25986.6537638
2029,35178.0726538,25986.6537638
2030,35178.0726538,25986.6537638
2031,35178.0726538,25986.6537638
