year,Base case cost,Modeled biomass for heat (cordwood)
2017,425412.355722,435640.428606
2018,458494.097306,465072.345717
2019,510056.159305,511709.415952
2020,531427.270097,530638.599967
2021,553251.421304,550578.655123
2022,564527.592096,560436.708483
2023,578278.083303,573143.213061
2024,584936.414888,578856.507423
2025,593487.71568,586286.543101
2026,609485.526887,601078.363553
2027,617169.557679,607746.521876
2028,623900.529264,613559.911476
2029,640263.641263,628736.901225
2030,645120.192055,632871.989054
2031,662713.133262,649199.62081
2032,672522.294054,657841.163343
2033,690449.996053,674515.459354
2034,701352.466845,684170.267476
2035,708300.26843,690242.690649
2036,726623.778845,707329.624355
