year,Base case diesel consumed,Modeled solar power
2020,50180.3222165,49377.8666871
2021,50258.6066506,49462.5707654
2022,50336.8910846,49547.2234865
2023,50415.1755186,49631.8252613
2024,50415.1755186,49638.0920634
2025,50493.4599527,49722.593165
2026,50571.7443867,49807.0445334
2027,50650.0288207,49891.4465662
2028,50650.0288207,49897.5152243
2029,50728.3132548,49981.8197671
2030,50806.5976888,50066.076149
2031,50884.8821228,50150.2847554
2032,50963.1665569,50234.4459684
2033,51041.4509909,50318.5601671
2034,51041.4509909,50324.3432937
2035,51119.7354249,50408.3645893
2036,51198.019859,50492.33999
2037,51276.304293,50576.269863
2038,51354.588727,50660.1545725
2039,51354.588727,50665.7100457
