year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5823.19983835,759.460680914
2018,5824.89925025,759.68231791
2019,5826.74424978,759.922942418
2020,5828.30487971,760.126479494
2021,5829.82187339,760.324325538
2022,5831.22170306,760.506891073
2023,5832.42830552,760.664255951
2024,5833.65292296,760.823970337
2025,5834.9774901,760.996720147
2026,5836.54038858,761.200553087
2027,5838.16333695,761.412217724
2028,5839.73757819,761.617529984
2029,5841.53093481,761.851419234
2030,5843.31294867,762.083829163
2031,5844.8346129,762.282284339
