year,Base case cost,Modeled solar power
2020,209251.943643,212836.844486
2021,218122.352863,221453.664125
2022,224502.534237,227625.114895
2023,228884.896855,231834.720047
2024,232413.959141,235202.838484
2025,237319.261778,239935.611421
2026,242744.373056,245184.540607
2027,247172.140645,249455.330042
2028,250717.642663,252855.084302
2029,256177.981937,258150.786316
2030,259113.648213,260962.628665
2031,265110.23586,266794.432406
2032,270614.414417,272144.865175
2033,276644.664371,278017.697708
2034,282259.22398,283478.438828
2035,286270.51838,287367.894698
2036,292340.693395,293291.001601
2037,295864.275771,296705.90159
2038,301964.981715,302665.958192
2039,306586.8947,307164.248672
