year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,50023.75,5823.2,35178.07,50644.1
2018,50102.04,5824.9,35178.07,50644.1
2019,50180.32,5826.74,35178.07,51666.64
2020,50180.32,5828.3,35178.07,51666.64
2021,50258.61,5829.82,35178.07,52689.18
2022,50336.89,5831.22,35178.07,52689.18
2023,50415.18,5832.43,35178.07,53711.73
2024,50415.18,5833.65,35178.07,53711.73
2025,50493.46,5834.98,35178.07,53711.73
2026,50571.74,5836.54,35178.07,54734.27
2027,50650.03,5838.16,35178.07,54734.27
2028,50650.03,5839.74,35178.07,54734.27
2029,50728.31,5841.53,35178.07,55756.82
2030,50806.6,5843.31,35178.07,55756.82
2031,50884.88,5844.83,35178.07,56779.36
2032,50963.17,5846.44,35178.07,56779.36
2033,51041.45,5847.88,35178.07,57801.91
2034,51041.45,5849.32,35178.07,57801.91
2035,51119.74,5850.77,35178.07,57801.91
2036,51198.02,5852.16,35178.07,58824.45
2037,51276.3,5853.75,35178.07,58824.45
2038,51354.59,5855.33,35178.07,59847.0
2039,51354.59,5856.66,35178.07,59847.0
2040,51432.87,5857.77,35178.07,59847.0
