year,Base case diesel consumed,Modeled diesel efficiency
2019,50180.3222165,45618.4747423
2020,50180.3222165,45618.4747423
2021,50258.6066506,45689.6424096
2022,50336.8910846,45760.8100769
2023,50415.1755186,45831.9777442
2024,50415.1755186,45831.9777442
2025,50493.4599527,45903.1454115
2026,50571.7443867,45974.3130788
2027,50650.0288207,46045.4807461
2028,50650.0288207,46045.4807461
2029,50728.3132548,46116.6484134
2030,50806.5976888,46187.8160807
2031,50884.8821228,46258.983748
2032,50963.1665569,46330.1514153
2033,51041.4509909,46401.3190826
2034,51041.4509909,46401.3190826
2035,51119.7354249,46472.4867499
2036,51198.019859,46543.6544173
2037,51276.304293,46614.8220846
2038,51354.588727,46685.9897519
