year,Base case cost,Holy cross power plant heat recovery for water distribution system
2019,510056.159305,526108.466463
2020,531427.270097,545728.608875
2021,553251.421304,566050.34565
2022,564527.592096,576034.174224
2023,578278.083303,588663.924983
2024,584936.414888,594258.658469
2025,593487.71568,601689.054874
2026,609485.526887,616546.217266
2027,617169.557679,623183.426945
2028,623900.529264,628922.987291
2029,640263.641263,644197.689873
2030,645120.192055,648172.434599
2031,662713.133262,664671.78394
2032,672522.294054,673441.187051
2033,690449.996053,690306.594442
2034,701352.466845,700161.871281
2035,708300.26843,706229.225643
2036,726623.778845,723534.689942
2037,732642.920429,728739.848993
2038,751260.521636,746367.201631
