year,Base case diesel consumed,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,47262.7413435,9652.74401791,8396.68549855,11120.8970436
2022,47417.1947466,9807.197421,8551.13890163,11275.3504467
2023,47494.4214481,9884.42412254,8628.36560317,11352.5771482
2024,47648.8748512,10038.8775256,8782.81900626,11507.0305513
2025,47803.3282543,10193.3309287,8937.27240934,11661.4839544
2026,47957.7816574,10347.7843318,9091.72581242,11815.9373575
2027,48112.2350605,10502.2377349,9246.17921551,11970.3907606
2028,48343.9151651,10733.9178395,9477.85932013,12202.0708652
2029,48498.3685682,10888.3712426,9632.31272321,12356.5242683
2030,48652.8219713,11042.8246457,9786.7661263,12510.9776714
2031,48807.2753743,11197.2780487,9941.21952938,12665.4310745
2032,49038.955479,11428.9581534,10172.899634,12897.1111791
2033,49193.408882,11583.4115565,10327.3530371,13051.5645822
2034,49347.8622851,11737.8649595,10481.8064402,13206.0179852
2035,49502.3156882,11892.3183626,10636.2598433,13360.4713883
2036,49656.7690913,12046.7717657,10790.7132463,13514.9247914
2037,49811.2224944,12201.2251688,10945.1666494,13669.3781945
2038,49965.6758975,12355.6785719,11099.6200525,13823.8315976
2039,50120.1293005,12510.131975,11254.0734556,13978.2850007
2040,50274.5827036,12664.585378,11408.5268587,14132.7384037
2041,50429.0361067,12819.0387811,11562.9802618,14287.1918068
2042,50583.4895098,12973.4921842,11717.4336648,14441.6452099
2043,50660.7162113,13050.7188857,11794.6603664,14518.8719115
2044,50737.9429129,13127.9455873,11871.8870679,14596.098613
2045,50892.396316,13282.3989904,12026.340471,14750.5520161
2046,50969.6230175,13359.6256919,12103.5671725,14827.7787176
2047,51046.849719,13436.8523935,12180.7938741,14905.0054192
2048,51124.0764206,13514.079095,12258.0205756,14982.2321207
2049,51201.3031221,13591.3057965,12335.2472772,15059.4588222
2050,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2051,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2052,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2053,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2054,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2055,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2056,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2057,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2058,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2059,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2060,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2061,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2062,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2063,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2064,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2065,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2066,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2067,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2068,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2069,51278.5298237,13668.5324981,12412.4739787,15136.6855238
2070,51278.5298237,13668.5324981,12412.4739787,15136.6855238
