year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,9642.84,544059.0,544059.0
2004,,9642.84,604552.0,604552.0
2005,,9642.84,556613.0,556613.0
2006,,9642.84,556735.0,556735.0
2007,,9642.84,591346.0,591346.0
2008,,9642.84,585985.0,585985.0
2009,,9642.84,622688.0,622688.0
2010,,9642.84,621012.0,621012.0
2011,,9642.84,585029.0,585029.0
2012,,9642.84,587546.0,587546.0
2013,,9642.84,610184.0,610184.0
2014,,9642.84,592948.0,592948.0
2015,,9642.84,609336.0,609336.0
2016,start of forecast,9642.84,603000.0,603000.0
2017,,9642.84,605000.0,605000.0
2018,,9642.84,606000.0,606000.0
2019,,9642.84,608000.0,608000.0
2020,,9642.84,610000.0,610000.0
2021,,9642.84,612000.0,612000.0
2022,,9642.84,614000.0,614000.0
2023,,9642.84,615000.0,615000.0
2024,,9642.84,617000.0,617000.0
2025,,9642.84,619000.0,619000.0
2026,,9642.84,621000.0,621000.0
2027,,9642.84,623000.0,623000.0
2028,,9642.84,626000.0,626000.0
2029,,9642.84,628000.0,628000.0
2030,,9642.84,630000.0,630000.0
2031,,9642.84,632000.0,632000.0
2032,,9642.84,635000.0,635000.0
2033,,9642.84,637000.0,637000.0
2034,,9642.84,639000.0,639000.0
2035,,9642.84,641000.0,641000.0
2036,,9642.84,643000.0,643000.0
2037,,9642.84,645000.0,645000.0
2038,,9642.84,647000.0,647000.0
2039,,9642.84,649000.0,649000.0
2040,,9642.84,651000.0,651000.0
