year,Base case cost,Modeled diesel efficiency
2019,181241.801314,351628.871997
2020,192672.897676,357641.162201
2021,200866.65071,360813.060254
2022,207213.141043,362405.870024
2023,211825.119659,362519.743007
2024,215372.914327,361761.773717
2025,220373.343252,362417.738152
2026,225401.57379,363190.145848
2027,230457.60594,364076.860019
2028,234951.427702,364539.419415
2029,240066.924412,365652.045683
2030,243750.638076,365545.968788
2031,249405.177163,367312.525737
2032,255492.958045,369552.015447
2033,261217.001164,371538.057638
2034,267465.413585,374076.212504
2035,271767.713128,374918.81961
2036,278077.906911,377658.704822
2037,281931.519318,378235.568341
2038,288301.949928,381169.036393
