year,Base case cost,Modeled solar power (pv)
2016,117816.283605,123386.51671
2017,141100.906387,146168.885869
2018,157713.914422,162391.546745
2019,181241.801314,185434.829489
2020,192672.897676,196577.831468
2021,200866.65071,204539.431173
2022,207213.141043,210687.108118
2023,211825.119659,215125.79425
2024,215372.914327,218525.219892
2025,220373.343252,223360.050767
2026,225401.57379,228226.490577
2027,230457.60594,233124.458376
2028,234951.427702,237477.388149
2029,240066.924412,242441.929269
2030,243750.638076,245998.146644
2031,249405.177163,251501.884483
2032,255492.958045,257442.319285
2033,261217.001164,263022.399298
2034,267465.413585,269123.716553
2035,271767.713128,273307.838638
