year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,31347.3,158491.45,274170.33,51924.67,158918.81,192955.09
2018,33759.12,170627.64,286854.55,54445.42,166532.25,202199.12
2019,37135.16,187618.31,313207.22,57970.49,177191.06,218915.17
2020,38727.37,195593.52,321777.75,59645.12,182194.17,225096.4
2021,39840.93,201141.49,336733.42,60825.78,185674.6,233351.49
2022,40679.82,205302.47,341327.7,61720.9,188284.92,236632.08
2023,41312.32,208423.2,353981.71,62400.93,190242.66,243144.94
2024,41739.57,210503.69,356340.2,62869.16,191547.82,244813.04
2025,42374.69,213624.43,369239.62,63555.6,193505.56,251437.1
2026,43011.96,216745.16,382323.1,64247.39,195463.31,258144.57
2027,43650.69,219865.9,386044.9,64942.63,197421.05,260730.12
2028,44152.62,222293.14,398556.95,65496.73,198943.73,266978.87
2029,44792.35,225413.87,412080.12,66193.81,200901.47,273885.58
2030,45225.97,227494.36,414684.03,66677.1,202206.63,275664.88
2031,45934.7,230961.84,428896.82,67445.28,204381.9,282983.99
2032,,,433338.92,,,285995.83
2033,,,447858.47,,,293453.94
2034,,,463047.2,,,301315.18
2035,,,466299.82,,,303488.34
2036,,,481785.09,,,311483.95
