year,Base case cost,Modeled residential energy efficiency
2017,467125.417512,451692.198096
2018,489053.671241,471700.592203
2019,532122.394512,512253.205672
2020,546874.147876,525623.100662
2021,570084.908017,547763.942279
2022,577959.783542,554750.822388
2023,597126.650994,573168.141987
2024,601153.243032,576583.43116
2025,620676.727588,595374.051357
2026,640467.674971,614440.184022
2027,646775.025855,620030.581168
2028,665535.815858,638168.630387
2029,685965.702217,657896.736556
2030,690348.911359,661715.290942
2031,711880.808724,682516.610634
2032,719334.747752,689246.953942
2033,741312.416497,710507.845276
2034,764362.378155,732804.419924
2035,769788.162119,737656.39176
2036,793269.03611,760396.731238
