year,Base case diesel consumed,Modeled solar power (pv)
2016,46567.7010296,45823.0165092
2017,46722.1544327,45983.4273885
2018,46799.3811343,46066.5639064
2019,46953.8345373,46226.8798473
2020,47108.2879404,46387.1488879
2021,47262.7413435,46547.3714034
2022,47417.1947466,46707.547766
2023,47494.4214481,46790.4516434
2024,47648.8748512,46950.5368049
2025,47803.3282543,47110.5769123
2026,47957.7816574,47270.5723262
2027,48112.2350605,47430.5234039
2028,48343.9151651,47667.6572018
2029,48498.3685682,47827.5206686
2030,48652.8219713,47987.3408548
2031,48807.2753743,48147.1181069
2032,49038.955479,48384.0794696
2033,49193.408882,48543.7718808
2034,49347.8622851,48703.4223799
2035,49502.3156882,48863.0313022
