year,Base case cost,"Grayling, alaska heat recovery study"
2019,187618.305487,179782.033448
2020,195593.516642,185073.23768
2021,201141.489619,188517.243584
2022,205302.469351,190913.712972
2023,208423.204151,192528.90189
2024,210503.694017,193362.368667
2025,213624.428817,195013.931857
2026,216745.163616,196683.045319
2027,219865.898416,198369.297718
2028,222293.136593,199538.870735
2029,225413.871393,201258.205344
2030,227494.361259,202193.3769
2031,230961.84437,204210.969468
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
