year,Base case cost,Modeled water and wastewater efficiency
2017,83271.9722638,83065.4059248
2018,88204.538597,84570.5733276
2019,95105.6515659,87054.596685
2020,98372.4890421,87792.4969258
2021,100666.709518,88078.2109096
2022,102400.720358,88111.044739
2023,103713.245552,87957.8854233
2024,104608.73468,87620.9185475
2025,105930.291156,87509.8686824
2026,107259.348911,87420.9652985
2027,108593.31232,87352.2655958
2028,109649.352459,87165.614149
2029,110986.157479,87132.0321986
2030,111903.073208,86910.5353746
2031,113379.983011,86976.959543
