year,Base case cost,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,200866.65071,1402464.32467,904701.659084,726417.317731
2022,207213.141043,1376689.15122,888514.371823,714365.192306
2023,211825.119659,1351004.8974,872229.108987,702040.483085
2024,215372.914327,1326066.84656,856506.507566,690105.910207
2025,220373.343252,1302010.05238,841407.796399,678796.191421
2026,225401.57379,1278578.871,826721.963779,667816.574386
2027,230457.60594,1255759.29133,812439.984548,657159.974006
2028,234951.427702,1233736.64282,798778.408231,646987.682888
2029,240066.924412,1212103.40009,785281.762478,636960.381961
2030,243750.638076,1190765.61676,771926.621964,626913.573922
2031,249405.177163,1170351.57354,759253.573531,617589.640434
2032,255492.958045,1150889.29078,747347.767969,608961.152375
2033,261217.001164,1131569.63593,735404.397436,600224.984683
2034,267465.413585,1112874.3363,723896.236899,591884.131362
2035,271767.713128,1094293.88026,712383.776602,583357.808661
2036,278077.906911,1076614.86003,701552.232329,575561.405641
2037,281931.519318,1058912.35602,690599.197261,567436.864074
2038,288301.949928,1042203.85274,680414.24198,560161.00678
2039,293703.957701,1025755.15332,670359.149051,552897.045501
2040,300139.258741,1009979.63148,660798.253343,546125.043526
2041,301061.345557,993449.384763,650478.511134,538221.864123
2042,301983.432373,977328.177104,640422.249285,530525.526891
2043,302444.475782,961145.378322,630162.24912,522570.1406
2044,302905.51919,945352.669529,620153.523374,514812.014348
2045,303827.606006,930401.951523,610851.22629,507707.568325
2046,304288.649414,915362.208951,601327.519782,500330.200747
2047,304749.692823,900685.766088,592037.830875,493136.545945
2048,305210.736231,886364.10806,582976.674756,486122.298132
2049,305671.779639,872388.91946,574138.695102,479283.252389
2050,306132.823047,858752.080146,565518.661363,472615.302534
2051,306132.823047,844984.616569,556650.421974,465653.395061
2052,306132.823047,831539.827912,547990.03194,458854.65729
2053,306132.823047,818410.151538,539532.619829,452215.26496
2054,306132.823047,805588.201844,531273.428244,445731.483333
2055,306132.823047,793066.766639,523207.811489,439399.665358
2056,306132.823047,780838.802582,515331.232634,433216.249373
2057,306132.823047,768897.431448,507639.261106,427177.757208
2058,306132.823047,757235.936152,500127.57013,421280.79218
2059,306132.823047,745847.757246,492791.934471,415522.037316
2060,306132.823047,734726.488708,485628.227724,409898.253231
2061,306132.823047,723865.874907,478632.420359,404406.276589
2062,306132.823047,713259.806748,471800.577232,399043.018153
2063,306132.823047,702902.31828,465128.855408,393805.461069
2064,306132.823047,692787.583542,458613.502125,388690.659278
2065,306132.823047,682909.912824,452250.852386,383695.735616
2066,306132.823047,673263.749981,446037.327229,378817.88046
2067,306132.823047,663843.669158,439969.431619,374054.350074
2068,306132.823047,654644.371403,434043.752263,369402.464894
2069,306132.823047,645660.682214,428256.956033,364859.608285
2070,306132.823047,636887.548265,422605.787855,360423.22489
