year,Base case diesel consumed,Modeled solar power (pv)
2016,45133.047041,44883.3730797
2017,45050.9351503,44803.2585807
2018,44968.8232596,44723.1281026
2019,44968.8232596,44725.0936638
2020,44886.711369,44644.9316099
2021,44804.5994783,44564.7539574
2022,44640.375697,44402.4489402
2023,44558.2638063,44322.2404636
2024,44476.1519156,44242.0167596
2025,44394.040025,44161.7779502
2026,44229.8162436,43999.4122655
2027,44147.704353,43919.1436066
2028,44065.5924623,43838.8602019
2029,43901.368681,43676.4502787
2030,43819.2567903,43596.1377352
2031,43655.033009,43433.6989064
2032,43572.9211183,43353.3576885
2033,43490.8092276,43273.0023053
2034,43326.5854463,43110.5209793
2035,43244.4735556,43030.1376044
