year,Base case cost,Bettles (jane creek)
2021,146062.994299,1148538.8672
2022,149991.662342,1125658.03369
2023,153280.427494,1103484.10691
2024,155666.531705,1081741.83717
2025,158930.663289,1060572.048
2026,162323.425614,1039620.34619
2027,165112.41428,1019363.44317
2028,167889.907281,999568.422862
2029,170776.324169,979937.693458
2030,172647.871754,960964.292908
2031,176366.333356,942244.091978
2032,179956.164219,924232.711939
2033,183966.123033,906654.987662
2034,187604.114982,889115.886918
2035,189843.238909,872206.551047
2036,193430.321487,855409.077393
2037,196071.508749,839268.849793
2038,199606.039717,823174.646079
2039,202643.542483,807761.924624
2040,206947.998057,792751.536813
2041,206151.512717,777464.072902
2042,205753.270047,762914.483961
2043,205355.027378,748696.567256
2044,204558.542038,734404.306441
2045,204160.299368,720826.595584
2046,203762.056699,707557.778495
2047,203363.814029,694590.615526
2048,202965.571359,681918.036626
2049,202567.328689,669533.137369
2050,202169.08602,657429.175457
2051,202169.08602,645997.809025
2052,202169.08602,634834.365237
2053,202169.08602,623932.564703
2054,202169.08602,613286.275029
2055,202169.08602,602889.507804
2056,202169.08602,592736.414819
2057,202169.08602,582821.284965
2058,202169.08602,573138.540927
2059,202169.08602,563682.736279
2060,202169.08602,554448.551991
2061,202169.08602,545430.793903
2062,202169.08602,536624.389524
2063,202169.08602,528024.385221
2064,202169.08602,519625.943598
2065,202169.08602,511424.340387
2066,202169.08602,503414.962225
2067,202169.08602,495593.303928
2068,202169.08602,487954.965685
2069,202169.08602,480495.651015
2070,202169.08602,473211.164053
