year,Base case diesel consumed,Bettles (jane creek)
2021,44804.5994783,5904.04529199
2022,44640.375697,5739.82151066
2023,44558.2638063,5657.70961999
2024,44476.1519156,5575.59772932
2025,44394.040025,5493.48583866
2026,44229.8162436,5329.26205732
2027,44147.704353,5247.15016666
2028,44065.5924623,5165.03827599
2029,43901.368681,5000.81449465
2030,43819.2567903,4918.70260399
2031,43655.033009,4754.47882265
2032,43572.9211183,4672.36693198
2033,43490.8092276,4590.25504132
2034,43326.5854463,4426.03125998
2035,43244.4735556,4343.91936931
2036,43080.2497743,4179.69558798
2037,42998.1378836,4097.58369731
2038,42833.9141023,3933.35991598
2039,42751.8022116,3851.24802531
2040,42669.6903209,3769.13613464
2041,42505.4665396,3604.91235331
2042,42423.3546489,3522.80046264
2043,42341.2427583,3440.68857197
2044,42177.0189769,3276.46479064
2045,42094.9070863,3194.35289997
2046,42012.7951956,3112.2410093
2047,41930.6833049,3030.12911864
2048,41848.5714143,2948.01722797
2049,41766.4595236,2865.9053373
2050,41684.3476329,2783.79344664
2051,41684.3476329,2783.79344664
2052,41684.3476329,2783.79344664
2053,41684.3476329,2783.79344664
2054,41684.3476329,2783.79344664
2055,41684.3476329,2783.79344664
2056,41684.3476329,2783.79344664
2057,41684.3476329,2783.79344664
2058,41684.3476329,2783.79344664
2059,41684.3476329,2783.79344664
2060,41684.3476329,2783.79344664
2061,41684.3476329,2783.79344664
2062,41684.3476329,2783.79344664
2063,41684.3476329,2783.79344664
2064,41684.3476329,2783.79344664
2065,41684.3476329,2783.79344664
2066,41684.3476329,2783.79344664
2067,41684.3476329,2783.79344664
2068,41684.3476329,2783.79344664
2069,41684.3476329,2783.79344664
2070,41684.3476329,2783.79344664
