year,Base case cost,Modeled solar power (pv)
2016,79885.4932625,81906.7355874
2017,98211.0386276,100082.935757
2018,111522.681684,113275.059681
2019,130859.275686,132462.769408
2020,139597.672357,141110.676398
2021,146062.994299,147499.349732
2022,149991.662342,151364.887242
2023,153280.427494,154596.641557
2024,155666.531705,156931.712121
2025,158930.663289,160141.356708
2026,162323.425614,163478.568044
2027,165112.41428,166217.827375
2028,167889.907281,168946.742008
2029,170776.324169,171783.457426
2030,172647.871754,173613.13485
2031,176366.333356,177279.666
2032,179956.164219,180820.923115
2033,183966.123033,184781.232022
2034,187604.114982,188370.687729
2035,189843.238909,190570.939506
