year,Base case diesel consumed,Modeled diesel efficiency
2019,1371587.53787,1246897.7617
2020,1370571.2801,1245973.891
2021,1368770.00016,1244336.36378
2022,1369617.43565,1245106.75968
2023,1369422.18184,1244929.25622
2024,1368923.78735,1244476.17032
2025,1368467.45814,1244061.32558
2026,1366330.63398,1242118.75816
2027,1362623.72585,1238748.84168
2028,1357593.51737,1234175.92488
2029,1357452.79474,1234047.99522
2030,1356546.95382,1233224.50347
2031,1354267.56733,1231152.33393
2032,1353228.13435,1230207.39487
2033,1351220.03322,1228381.84838
2034,1350182.7081,1227438.82555
2035,1345060.29591,1222782.08719
2036,1343052.92583,1220957.2053
2037,1341876.40391,1219887.63992
2038,1341184.14701,1219258.31547
