year,Base case cost,Modeled solar power (pv)
2016,143142.089135,153311.116394
2017,175756.742356,185337.091188
2018,200048.599887,209140.022766
2019,234644.310671,243149.336727
2020,251857.599871,259971.159869
2021,262729.150945,270526.493206
2022,272018.368311,279525.406117
2023,278365.463571,285616.947412
2024,283137.878173,290158.381455
2025,289734.462833,296510.835899
2026,297250.78557,303779.415287
2027,303869.564072,310165.21313
2028,308677.948005,314764.103879
2029,316759.065762,322613.699751
2030,321862.092084,327517.237646
2031,329728.159163,335161.996844
2032,337337.083794,342554.661759
2033,345875.695466,350873.244908
2034,354428.082627,359210.576516
2035,360237.326957,364835.342049
