year,Base case diesel consumed,Modeled wind power
2019,90596.2589464,75204.8429801
2020,90596.2589464,75204.8429801
2021,90596.2589464,75204.8429801
2022,90672.7894369,75281.3734706
2023,90672.7894369,75281.3734706
2024,90749.3199274,75357.9039611
2025,90825.8504179,75434.4344516
2026,90902.3809084,75510.9649421
2027,90978.9113989,75587.4954326
2028,91055.4418894,75664.0259231
2029,91285.0333609,75893.6173946
2030,91438.0943419,76046.6783756
2031,91591.1553229,76199.7393566
2032,91667.6858135,76276.2698471
2033,91744.216304,76352.8003377
2034,91820.7467945,76429.3308282
2035,91897.277285,76505.8613187
2036,92050.338266,76658.9222997
2037,92203.399247,76811.9832807
2038,92356.460228,76965.0442617
