year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,90596.26,2999.03,54856.69,64232.56
2018,90519.73,2996.54,54856.69,63159.83
2019,90596.26,2998.78,54856.69,64232.56
2020,90596.26,3001.01,54856.69,64232.56
2021,90596.26,3003.1,54856.69,64232.56
2022,90672.79,3006.82,54856.69,64232.56
2023,90672.79,3010.89,54856.69,64232.56
2024,90749.32,3017.16,54856.69,64232.56
2025,90825.85,3024.67,54856.69,64232.56
2026,90902.38,3033.94,54856.69,64232.56
2027,90978.91,3043.26,54856.69,65305.29
2028,91055.44,3052.8,54856.69,65305.29
2029,91285.03,3075.6,54856.69,65305.29
2030,91438.09,3096.52,54856.69,66378.02
2031,91591.16,3113.99,54856.69,66378.02
2032,91667.69,,,67450.75
2033,91744.22,,,67450.75
2034,91820.75,,,67450.75
2035,91897.28,,,67450.75
2036,92050.34,,,68523.47
