year,Base case cost,Modeled wind power
2019,234644.310671,426459.55184
2020,251857.599871,435710.123154
2021,262729.150945,439864.280256
2022,272018.368311,442871.151031
2023,278365.463571,443529.839458
2024,283137.878173,443043.705557
2025,289734.462833,444163.025804
2026,297250.78557,446142.440879
2027,303869.564072,447485.316076
2028,308677.948005,447437.986976
2029,316759.065762,450273.716703
2030,321862.092084,450708.562172
2031,329728.159163,453512.378062
2032,337337.083794,456147.413485
2033,345875.695466,459636.909242
2034,354428.082627,463224.449041
2035,360237.326957,464635.69242
2036,369121.856447,468718.032734
2037,374345.800943,469864.339844
2038,383279.309946,474150.782647
