year,Base case diesel consumed,Modeled solar power (pv)
2016,90596.2589464,89597.9950604
2017,90596.2589464,89605.9811715
2018,90519.7284559,89537.3729031
2019,90596.2589464,89621.7622381
2020,90596.2589464,89629.5582117
2021,90596.2589464,89637.2918176
2022,90672.7894369,89721.4940452
2023,90672.7894369,89729.1044083
2024,90749.3199274,89813.184379
2025,90825.8504179,89897.2039539
2026,90902.3809084,89981.1636161
2027,90978.9113989,90065.063845
2028,91055.4418894,90148.9051159
2029,91285.0333609,90385.7488816
2030,91438.0943419,90546.0041385
2031,91591.1553229,90706.2018411
2032,91667.6858135,90789.8119595
2033,91744.216304,90873.3654408
2034,91820.7467945,90956.8627382
2035,91897.277285,91040.3043012
