year,Base case cost,Modeled water and wastewater efficiency
2017,92123.8988752,88746.2192896
2018,97016.1507569,91633.8230141
2019,103798.129401,95858.2605291
2020,106805.714381,97450.3534205
2021,109008.954446,98490.5265242
2022,110601.896678,99115.2853081
2023,111572.030056,99315.308487
2024,112526.325658,99515.1412681
2025,113645.619551,99841.7472026
2026,114915.181845,100284.225088
2027,116016.081646,100618.759281
2028,116960.909107,100854.200233
2029,118091.055759,101230.093772
2030,118901.090902,101391.331234
2031,120178.699124,101889.631023
