year,annotation,diesel generation efficiency
2002,,12.55
2003,,13.08
2004,,12.93
2005,,13.02
2006,,13.94
2007,,13.64
2008,,14.14
2009,,12.79
2010,,12.92
2011,,13.14
2012,,13.44
2013,,14.0
2014,,13.56
2015,,13.44
2016,start of forecast,13.67
2017,,13.67
2018,,13.67
2019,,13.67
2020,,13.67
2021,,13.67
2022,,13.67
2023,,13.67
2024,,13.67
2025,,13.67
2026,,13.67
2027,,13.67
2028,,13.67
2029,,13.67
2030,,13.67
2031,,13.67
2032,,13.67
2033,,13.67
2034,,13.67
2035,,13.67
2036,,13.67
2037,,13.67
2038,,13.67
2039,,13.67
2040,,13.67
