year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,18638.49,1214139.0,1214139.0
2004,,18638.49,1190507.0,1190507.0
2005,,18638.49,1198136.0,1198136.0
2006,,18638.49,1215626.0,1215626.0
2007,,18638.49,1250679.0,1250679.0
2008,,18638.49,1611503.0,1611503.0
2009,,18638.49,1615013.0,1615013.0
2010,,18638.49,1516037.0,1516037.0
2011,,18638.49,1502158.0,1502158.0
2012,,18638.49,1481227.0,1481227.0
2013,,18638.49,1418622.0,1418622.0
2014,,18638.49,1373098.0,1373098.0
2015,,18638.49,1384652.0,1384652.0
2016,start of forecast,18638.49,1436000.0,1436000.0
2017,,18638.49,1436000.0,1436000.0
2018,,18638.49,1436000.0,1436000.0
2019,,18638.49,1436000.0,1436000.0
2020,,18638.49,1436000.0,1436000.0
2021,,18638.49,1436000.0,1436000.0
2022,,18638.49,1436000.0,1436000.0
2023,,18638.49,1436000.0,1436000.0
2024,,18638.49,1436000.0,1436000.0
2025,,18638.49,1436000.0,1436000.0
2026,,18638.49,1436000.0,1436000.0
2027,,18638.49,1436000.0,1436000.0
2028,,18638.49,1436000.0,1436000.0
2029,,18638.49,1436000.0,1436000.0
2030,,18638.49,1436000.0,1436000.0
2031,,18638.49,1435000.0,1435000.0
2032,,18638.49,1435000.0,1435000.0
2033,,18638.49,1435000.0,1435000.0
2034,,18638.49,1435000.0,1435000.0
2035,,18638.49,1435000.0,1435000.0
2036,,18638.49,1435000.0,1435000.0
2037,,18638.49,1435000.0,1435000.0
2038,,18638.49,1435000.0,1435000.0
2039,,18638.49,1434000.0,1434000.0
2040,,18638.49,1435000.0,1435000.0
