year,Base case diesel consumed,Modeled solar power (pv)
2016,105079.221112,103510.769793
2017,105079.221112,103523.317403
2018,105079.221112,103535.764633
2019,105079.221112,103548.112285
2020,105079.221112,103560.361155
2021,105079.221112,103572.512035
2022,105079.221112,103584.565707
2023,105079.221112,103596.522951
2024,105079.221112,103608.384536
2025,105079.221112,103620.151229
2026,105079.221112,103631.823788
2027,105079.221112,103643.402966
2028,105079.221112,103654.889511
2029,105079.221112,103666.284164
2030,105079.221112,103677.58766
2031,105006.046167,103615.625782
2032,105006.046167,103626.749145
2033,105006.046167,103637.783522
2034,105006.046167,103648.729623
2035,105006.046167,103659.588155
