year,Base case diesel consumed,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,105079.221112,77127.2917833,74018.895414
2020,105079.221112,77127.2917833,74018.895414
2021,105079.221112,77127.2917833,74018.895414
2022,105079.221112,77127.2917833,74018.895414
2023,105079.221112,77127.2917833,74018.895414
2024,105079.221112,77127.2917833,74018.895414
2025,105079.221112,77127.2917833,74018.895414
2026,105079.221112,77127.2917833,74018.895414
2027,105079.221112,77127.2917833,74018.895414
2028,105079.221112,77127.2917833,74018.895414
2029,105079.221112,77127.2917833,74018.895414
2030,105079.221112,77127.2917833,74018.895414
2031,105006.046167,77054.1168382,73945.7204689
2032,105006.046167,77054.1168382,73945.7204689
2033,105006.046167,77054.1168382,73945.7204689
2034,105006.046167,77054.1168382,73945.7204689
2035,105006.046167,77054.1168382,73945.7204689
2036,105006.046167,77054.1168382,73945.7204689
2037,105006.046167,77054.1168382,73945.7204689
2038,105006.046167,77054.1168382,73945.7204689
