year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,169179.796427,125193.049356
2018,169179.796427,125193.049356
2019,169179.796427,125193.049356
2020,169179.796427,125193.049356
2021,169179.796427,125193.049356
2022,169179.796427,125193.049356
2023,169179.796427,125193.049356
2024,169179.796427,125193.049356
2025,169179.796427,125193.049356
2026,169179.796427,125193.049356
2027,169179.796427,125193.049356
2028,169179.796427,125193.049356
2029,169179.796427,125193.049356
2030,169179.796427,125193.049356
2031,169179.796427,125193.049356
