year,Base case cost,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,407707.377914,620937.70439,606603.29073
2020,427672.429925,630121.147974,615380.670843
2021,442383.520881,635387.600294,620371.15378
2022,452891.442992,637546.358521,622357.616794
2023,459196.196258,636594.065336,621336.754562
2024,465500.949525,635778.382375,620450.386853
2025,472856.495003,635908.842942,620481.623397
2026,481262.832692,636982.320272,621427.385853
2027,488618.37817,637370.290718,621712.144186
2028,494923.131436,637069.772352,621332.962648
2029,502278.676914,637703.323365,621859.498208
2030,507532.63797,636829.894729,620930.165363
2031,515579.686678,638151.095688,622114.250561
2032,525030.230833,640750.73634,624548.552224
2033,533430.714527,642648.726502,626305.967508
2034,542881.258682,645466.486511,628955.010484
2035,549181.621452,645953.47721,629351.073756
2036,557582.105145,648167.248685,631419.379807
2037,563882.467915,648857.378875,632015.436521
2038,573333.01207,652081.532099,635064.578846
