year,Base case cost,Modeled biomass for heat (cordwood)
2017,747006.35874,910434.686523
2018,799452.15874,946646.762221
2019,872199.55874,997930.31288
2020,904343.75874,1019250.00519
2021,928028.95874,1034372.36592
2022,944946.95874,1044546.99251
2023,955097.75874,1049772.57167
2024,965248.55874,1055051.59008
2025,977091.15874,1061633.73756
2026,990625.55874,1069517.79098
2027,1002468.15874,1076200.67129
2028,1012618.95874,1081681.21201
2029,1024461.55874,1088460.15861
2030,1032920.55874,1092783.57177
2031,1046454.95874,1100905.07665
2032,,
2033,,
2034,,
2035,,
2036,,
