year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,105079.22,7747.07,169179.8,77323.68
2018,105079.22,7748.4,169179.8,77323.68
2019,105079.22,7749.85,169179.8,77323.68
2020,105079.22,7750.98,169179.8,77323.68
2021,105079.22,7751.14,169179.8,77323.68
2022,105079.22,7752.18,169179.8,77323.68
2023,105079.22,7753.5,169179.8,78021.01
2024,105079.22,7754.02,169179.8,78021.01
2025,105079.22,7754.91,169179.8,78021.01
2026,105079.22,7755.46,169179.8,78021.01
2027,105079.22,7755.46,169179.8,78021.01
2028,105079.22,7755.52,169179.8,78021.01
2029,105079.22,7756.86,169179.8,78021.01
2030,105079.22,7757.93,169179.8,78021.01
2031,105006.05,7758.79,169179.8,78718.34
2032,105006.05,,,78718.34
2033,105006.05,,,78718.34
2034,105006.05,,,78718.34
2035,105006.05,,,79415.67
2036,105006.05,,,79415.67
