year,Base case diesel consumed,Modeled transmission and interties
2021,105079.221112,0.0
2022,105079.221112,0.0
2023,105079.221112,0.0
2024,105079.221112,0.0
2025,105079.221112,0.0
2026,105079.221112,0.0
2027,105079.221112,0.0
2028,105079.221112,0.0
2029,105079.221112,0.0
2030,105079.221112,0.0
2031,105006.046167,0.0
2032,105006.046167,0.0
2033,105006.046167,0.0
2034,105006.046167,0.0
2035,105006.046167,0.0
2036,105006.046167,0.0
2037,105006.046167,0.0
2038,105006.046167,0.0
2039,104932.871222,0.0
2040,105006.046167,0.0
